"today","region","sex","age","married","christ","children","education","gaccra","pay_bribe","surveyChoice","rand_number","rand_number6","rand_number2_2","rand_number2_3","rand_number2_4","rand_number2_5","rand_number2_6","gender","corrupt","financial_pressure","john","ethnic_1","ethnic_2","ethnic_3","ethnic_4","ethnic_5","ethnic_6","ethnic_7","ethnic_8","ethnic_9","ethnic_10","ethnic_11","ethnic_12","ethnic_13","ethnic_14","ethnic_15","ethnic_16","ethnic_17","ethnic_18","ethnic_19","ethnic_20","ethnic_21"
"19-Sep-17",3,1,67,0,1,3,5,0,NA,6,NA,0.995024325,NA,NA,NA,NA,0.08625232,1,7,400,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Sep-17",3,0,58,1,1,4,5,0,NA,5,NA,0.834774165,NA,NA,NA,0.913902623,NA,1,7,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Sep-17",3,1,19,0,1,0,6,0,1,3,NA,0.410093235,NA,0.747766867,NA,NA,NA,1,7,200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Sep-17",3,0,19,1,1,1,5,0,1,4,NA,0.474404189,NA,NA,0.261978626,NA,NA,1,7,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Sep-17",3,1,62,1,1,2,7,0,1,1,0.711085307,0.601844136,NA,NA,NA,NA,NA,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Sep-17",3,0,48,1,1,5,4,0,1,1,0.488362874,0.895937243,NA,NA,NA,NA,NA,1,7,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Sep-17",3,1,40,1,1,6,5,0,1,3,NA,0.263848639,NA,0.822329952,NA,NA,NA,1,7,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,25,0,1,1,1,1,NA,2,NA,0.663329378,0.753438021,NA,NA,NA,NA,2,6,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,27,1,0,2,3,1,NA,4,NA,0.23929996,NA,NA,0.996326056,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,43,1,1,4,6,1,NA,3,NA,0.077184389,NA,0.088820397,NA,NA,NA,2,6,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,26,0,1,1,6,1,1,6,NA,0.388733351,NA,NA,NA,NA,0.680707475,2,6,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,28,0,0,0,5,1,1,1,0.700732133,0.96429838,NA,NA,NA,NA,NA,1,7,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
